2008 12 02 10 49   11.30     107    5.22      18   617.8
2008 12 02 10 54   13.91      96    5.34      16   617.7
2008 12 02 10 59   13.91     106    5.46      12   617.7
2008 12 02 11 04   13.91     110    5.34      14   617.6
2008 12 02 11 09   14.78      98    5.30      20   617.6
2008 12 02 11 14   15.65     101    5.41      16   617.6
2008 12 02 11 19   14.78     136    5.41      13   617.5
2008 12 02 11 24   12.17     130    5.59      12   617.5
2008 12 02 11 29   10.43     138    5.54      16   617.4
2008 12 02 11 34   13.04     145    5.59      13   617.5
2008 12 02 11 39   12.17     106    5.54      16   617.4
2008 12 02 11 44   13.91     106    5.54      15   617.5
2008 12 02 11 49    9.57     126    5.34      14   617.4
2008 12 02 11 54   10.43      98    5.46      18   617.3
2008 12 02 11 59   13.91     113    5.41      16   617.3
2008 12 02 12 04   12.17     132    5.41      24   617.2
2008 12 02 12 09   10.43      99    5.46      18   617.3
2008 12 02 12 14   10.43     100    5.34      19   617.3
2008 12 02 12 19   11.30     112    5.41      27   617.3
2008 12 02 12 24   10.43      79    5.46      32   617.3
2008 12 02 12 29    8.70     106    5.59      28   617.2
2008 12 02 12 34    9.57     133    5.71      30   617.1
2008 12 02 12 39   11.30     101    5.71      29   617.1
2008 12 02 12 44   10.43     102    6.02      26   617.1
2008 12 02 12 49   13.91     105    6.02      26   616.9
2008 12 02 12 54   11.30     124    5.95      32   616.9
2008 12 02 12 59   11.30      97    5.90      26   616.9
2008 12 02 13 04    9.57     104    5.83      26   616.9
2008 12 02 13 09    9.57      94    6.07      25   616.9
2008 12 02 13 14    6.96      81    6.19      29   616.9
2008 12 02 13 19   12.17      81    6.14      29   616.8
2008 12 02 13 24   15.65      99    6.14      20   616.7
2008 12 02 13 29   13.04      90    5.90      26   616.6
2008 12 02 13 34   13.91      81    5.95      23   616.7
2008 12 02 13 39   13.04     107    6.14      25   616.6
2008 12 02 13 44   10.43     103    5.83      25   616.6
2008 12 02 13 49   13.04      99    5.78      26   616.5
2008 12 02 13 54   13.04      96    5.66      31   616.5
2008 12 02 13 59   10.43      93    5.71      31   616.5
2008 12 02 14 04   13.04     125    5.71      30   616.4
2008 12 02 14 09   13.04     112    5.53      29   616.4
2008 12 02 14 14   10.43      85    5.58      29   616.4
2008 12 02 14 19   14.78      95    5.78      31   616.4
2008 12 02 14 24   14.78     103    5.54      26   616.3
2008 12 02 14 29   17.39     101    5.29      24   616.3
2008 12 02 14 34   13.04     102    5.05      33   616.3
2008 12 02 14 39   12.17     107    4.93      31   616.2
2008 12 02 14 44   12.17     111    4.85      33   616.2
2008 12 02 14 49   13.91     111    4.85      31   616.2
2008 12 02 14 54   14.78     100    4.80      26   616.2
2008 12 02 14 59   13.04     116    4.73      26   616.3
2008 12 02 15 04   13.04     121    4.68      28   616.3
2008 12 02 15 09   13.04     114    4.61      29   616.3
2008 12 02 15 14   15.65     103    4.37      32   616.4
2008 12 02 15 19   12.17     119    4.12      32   616.4
2008 12 02 15 24   11.30     106    4.07      35   616.4
2008 12 02 15 29   13.04     113    4.12      31   616.4
2008 12 02 15 34   13.04     120    4.12      37   616.4
2008 12 02 15 39   11.30     139    4.00      32   616.5
2008 12 02 15 44   10.43     109    3.87      35   616.5
2008 12 02 15 49   11.30     114    3.83      39   616.5
2008 12 02 15 54    8.70     110    3.75      41   616.5
2008 12 02 15 59   12.17     106    3.83      39   616.5
2008 12 02 16 04    9.57     107    3.83      37   616.6
2008 12 02 16 09    8.70     132    3.87      38   616.7
2008 12 02 16 14    6.96     112    3.70      33   616.8
2008 12 02 16 19    5.22     113    3.51      31   616.8
2008 12 02 16 24    6.09     101    3.46      33   616.9
2008 12 02 16 29    8.70     108    3.46      35   616.9
2008 12 02 16 34    9.57     109    3.46      36   616.9
2008 12 02 16 39    6.96     107    3.39      35   617.0
2008 12 02 16 44   11.30     106    3.46      40   616.9
2008 12 02 16 49    6.09     106    3.39      38   616.9
2008 12 02 16 54    7.83      86    3.39      39   616.9
2008 12 02 16 59    6.09     102    3.39      40   617.1
2008 12 02 17 04    6.09     106    3.34      40   617.1
2008 12 02 17 09    6.09     102    3.27      41   617.1
2008 12 02 17 14    6.09     110    3.22      36   617.2
2008 12 02 17 19    5.22      93    3.14      40   617.3
2008 12 02 17 24    7.83      92    3.09      41   617.3
2008 12 02 17 29    5.22     117    3.02      39   617.3
2008 12 02 17 34    7.83     104    2.90      43   617.4
2008 12 02 17 39    6.09     102    2.78      45   617.5
2008 12 02 17 44    6.96     101    2.66      45   617.5
2008 12 02 17 49    5.22     106    2.53      45   617.6
2008 12 02 17 54    4.35     120    2.48      45   617.7
2008 12 02 17 59    5.22     101    2.36      46   617.7
2008 12 02 18 04    6.96     101    2.36      45   617.7
2008 12 02 18 09    6.09     101    2.36      47   617.8
2008 12 02 18 14    5.22     104    2.36      47   617.8
2008 12 02 18 19    4.35     102    2.36      47   617.9
2008 12 02 18 24    5.22      86    2.36      47   617.8
2008 12 02 18 29    6.09      84    2.36      47   617.9
2008 12 02 18 34    6.09      90    2.41      47   618.0
2008 12 02 18 39    6.09      82    2.41      47   618.0
2008 12 02 18 44    8.70      80    2.36      47   617.9
2008 12 02 18 49    8.70      85    2.36      47   618.0
2008 12 02 18 54   10.43      84    2.29      48   618.0
2008 12 02 18 59    9.57      87    2.29      47   618.0
2008 12 02 19 04    6.96      92    2.29      47   618.1
2008 12 02 19 09    6.96      81    2.24      47   618.1
2008 12 02 19 14    6.96      81    2.24      48   618.2
2008 12 02 19 19    7.83      75    2.29      47   618.2
2008 12 02 19 24    8.70      74    2.36      47   618.2
2008 12 02 19 29    9.57      70    2.41      48   618.3
2008 12 02 19 34   11.30      72    2.41      46   618.2
2008 12 02 19 39   10.43      61    2.41      46   618.3
2008 12 02 19 44   11.30      67    2.41      45   618.2
2008 12 02 19 49   11.30      67    2.29      47   618.3
2008 12 02 19 54    9.57      73    2.17      47   618.3
2008 12 02 19 59   12.17      65    2.17      45   618.3
2008 12 02 20 04   13.91      64    2.24      45   618.3
2008 12 02 20 09   13.91      69    2.17      46   618.3
2008 12 02 20 14   11.30      63    2.17      47   618.3
2008 12 02 20 19   12.17      80    2.12      47   618.4
2008 12 02 20 24   13.04      70    2.17      45   618.4
2008 12 02 20 29   12.17      79    2.24      46   618.4
2008 12 02 20 34   13.91      77    2.17      46   618.4
2008 12 02 20 39   11.30      70    2.17      46   618.4
2008 12 02 20 44   11.30      84    2.24      46   618.4
2008 12 02 20 49   12.17      81    2.41      46   618.4
2008 12 02 20 54   10.43      82    2.41      46   618.5
2008 12 02 20 59   12.17      77    2.36      46   618.5
2008 12 02 21 04   12.17      80    2.29      45   618.5
2008 12 02 21 09   12.17      88    2.29      44   618.5
2008 12 02 21 14   11.30      88    2.32      49   618.6
2008 12 02 21 19   12.17      79    2.24      47   618.6
2008 12 02 21 24   12.17      89    2.29      48   618.7
2008 12 02 21 29   12.17      87    2.24      47   618.7
2008 12 02 21 34   12.17      80    2.17      46   618.7
2008 12 02 21 39   10.43      84    2.17      47   618.8
2008 12 02 21 44   11.30      77    2.29      43   618.8
2008 12 02 21 49   13.04      72    2.24      43   618.8
2008 12 02 21 54   13.04      75    2.24      43   618.8
2008 12 02 21 59   13.04      72    2.24      44   618.9
2008 12 02 22 04   12.17      70    2.36      41   618.9
2008 12 02 22 09   12.17      75    2.41      43   618.9
2008 12 02 22 14   12.17      72    2.41      44   619.0
2008 12 02 22 19   13.04      71    2.36      44   619.0
2008 12 02 22 24   12.17      71    2.36      42   619.0
2008 12 02 22 29   12.17      73    2.36      46   619.0
2008 12 02 22 34   13.04      72    2.41      40   619.0
2008 12 02 22 39   13.04      77    2.36      48   619.0
2008 12 02 22 44   13.04      77    2.25      49   619.0
2008 12 02 22 49   14.78      78    2.24      49   619.0
2008 12 02 22 54   15.65      75    2.17      49   618.9
2008 12 02 22 59   15.65      75    2.24      47   619.0
2008 12 02 23 04   15.65      79    2.12      49   618.9
2008 12 02 23 09   13.91      81    2.04      50   619.0
2008 12 02 23 14   14.78      81    1.92      50   619.0
2008 12 02 23 19   14.78      76    1.92      48   618.9
2008 12 02 23 24   14.78      81    1.75      50   618.9
2008 12 02 23 29   15.65      81    1.68      48   618.9
2008 12 02 23 34   15.65      81    1.68      50   618.8
2008 12 02 23 39   16.52      83    1.63      49   618.8
